SampleDate,SampleTime,Turbidity,Latitude,Longitude
9/7/2016,13:10:00,9.2,38.93893,-76.94344
9/12/2016,8:35:00,12,38.69842,-76.98673
9/12/2016,12:15:00,8.8,38.70664,-77.04876
9/12/2016,12:15:00,7.2,38.70664,-77.04876
9/12/2016,12:15:00,6.3,38.70664,-77.04876
9/12/2016,11:54:00,10.7,38.69067,-77.11111
9/12/2016,11:54:00,8.9,38.69067,-77.11111
9/12/2016,11:54:00,7.3,38.69067,-77.11111
9/12/2016,11:20:00,15.1,38.6082,-77.1739
9/12/2016,11:20:00,9.2,38.6082,-77.1739
9/12/2016,11:20:00,8,38.6082,-77.1739
9/12/2016,12:29:00,10.8,38.69787,-77.02317
9/14/2016,11:00:00,1.1,38.81123,-77.23026
9/29/2016,10:00:00,194.5,38.81123,-77.23026
10/5/2016,12:15:00,12.2,38.93893,-76.94344
10/11/2016,8:50:00,7.4,38.69842,-76.98673
10/11/2016,13:06:00,35.2,38.70664,-77.04876
10/11/2016,13:06:00,19.1,38.70664,-77.04876
10/11/2016,13:06:00,7,38.70664,-77.04876
10/11/2016,12:39:00,20.1,38.69067,-77.11111
10/11/2016,12:39:00,10.3,38.69067,-77.11111
10/11/2016,12:39:00,8.1,38.69067,-77.11111
10/11/2016,11:59:00,21.9,38.6082,-77.1739
10/11/2016,11:59:00,14.2,38.6082,-77.1739
10/11/2016,11:59:00,10.3,38.6082,-77.1739
10/11/2016,13:23:00,10.3,38.69787,-77.02317
10/12/2016,10:30:00,1.3,38.81123,-77.23026
11/9/2016,13:35:00,6.9,38.93893,-76.94344
11/9/2016,10:45:00,NA,38.81123,-77.23026
11/14/2016,8:40:00,7.9,38.69842,-76.98673
11/14/2016,11:53:00,65.9,38.70664,-77.04876
11/14/2016,11:53:00,21.7,38.70664,-77.04876
11/14/2016,11:53:00,17.1,38.70664,-77.04876
11/14/2016,11:35:00,46.5,38.69067,-77.11111
11/14/2016,11:35:00,32.2,38.69067,-77.11111
11/14/2016,11:35:00,28.4,38.69067,-77.11111
11/14/2016,11:06:00,70,38.6082,-77.1739
11/14/2016,11:06:00,22.4,38.6082,-77.1739
11/14/2016,11:06:00,16.6,38.6082,-77.1739
11/14/2016,12:05:00,11.8,38.69787,-77.02317
11/30/2016,11:15:00,18.5,38.81123,-77.23026
12/6/2016,17:00:00,57.4,38.81123,-77.23026
12/7/2016,12:24:00,27.4,38.93893,-76.94344
12/12/2016,8:35:00,24.9,38.69842,-76.98673
12/12/2016,11:52:00,38.3,38.70664,-77.04876
12/12/2016,11:52:00,22.8,38.70664,-77.04876
12/12/2016,11:52:00,14.5,38.70664,-77.04876
12/12/2016,11:34:00,40,38.69067,-77.11111
12/12/2016,11:34:00,34.6,38.69067,-77.11111
12/12/2016,11:34:00,23,38.69067,-77.11111
12/12/2016,11:05:00,33.6,38.6082,-77.1739
12/12/2016,11:05:00,28.9,38.6082,-77.1739
12/12/2016,11:05:00,17.5,38.6082,-77.1739
12/12/2016,12:05:00,13.4,38.69787,-77.02317
12/14/2016,10:45:00,2.4,38.81123,-77.23026
1/3/2017,10:00:00,81.7,38.81123,-77.23026
1/4/2017,11:48:00,46.5,38.93893,-76.94344
1/11/2017,10:45:00,1.8,38.81123,-77.23026
1/17/2017,9:20:00,6.5,38.69842,-76.98673
1/17/2017,11:52:00,20.2,38.70664,-77.04876
1/17/2017,11:52:00,19.4,38.70664,-77.04876
1/17/2017,11:52:00,15.5,38.70664,-77.04876
1/17/2017,11:36:00,24.1,38.69067,-77.11111
1/17/2017,11:36:00,24.6,38.69067,-77.11111
1/17/2017,11:36:00,18.6,38.69067,-77.11111
1/17/2017,11:11:00,38.1,38.6082,-77.1739
1/17/2017,11:11:00,29.2,38.6082,-77.1739
1/17/2017,11:11:00,23.3,38.6082,-77.1739
1/17/2017,12:06:00,12.7,38.69787,-77.02317
1/23/2017,16:00:00,354.29999,38.81123,-77.23026
2/1/2017,13:40:00,4.8,38.93893,-76.94344
2/6/2017,8:40:00,4.9,38.69842,-76.98673
